date,fire_count,total_frp,burned_area,fire_anomaly,frp_anomaly,burn_anomaly,co,no2,aerosol_index,co_anomaly,no2_anomaly,ai_anomaly,blh,wind_speed,temp_2m,rh,precip,year,blh_anomaly,ws_anomaly
2021-11-02,441.4823529411765,191984.83921568628,16089.19792729914,440.1373191899711,191504.58874959825,16088.491091486549,0.0420323873625904,6.0446775651952176e-05,1.2591303986479423,0.0053668432592826,1.252710596129555e-05,1.83962372288382,384.0,2.29,20.8,58.2,0.0,2021,-1166.0,-1.61
2021-11-03,179.0,16385.0,16089.19792729914,177.6549662487946,15904.749533911923,16088.491091486549,0.0457181129838961,4.851013810038862e-05,1.2613304252960305,0.0090525688805883,5.904684097320029e-07,1.841823749531908,521.1,2.21,19.2,60.9,0.0,2021,-1028.9,-1.69
2021-11-04,242.87843137254904,55868.560784313726,16089.19792729914,241.5333976213436,55388.31031822565,16088.491091486549,0.0593127869511285,4.69987886603766e-05,0.7628414628191449,0.0226472428478207,-9.208810302800284e-07,1.343334787055022,354.6,2.7,23.3,65.1,0.0,2021,-1195.4,-1.2
2021-11-05,30.0,4236.0,16089.19792729914,28.6549662487946,3755.7495339119255,16088.491091486549,0.0551672356256068,4.661310417771685e-05,1.0484964056458288,0.018501691522299,-1.306565512939768e-06,1.628989729881706,648.1,2.41,19.9,58.0,0.39,2021,-901.9,-1.49
2021-11-06,421.0274509803921,58942.91764705882,16089.19792729914,419.68241722918674,58462.66718097075,16088.491091486549,0.0524181931106536,4.533636866050826e-05,1.4470634267719755,0.0157526490073458,-2.583301030148359e-06,2.027556751007853,445.1,1.45,21.7,63.3,0.0,2021,-1104.9,-2.45
2021-11-07,15.0,4083.0,16089.19792729914,13.6549662487946,3602.749533911925,16088.491091486549,0.0492626146298415,5.018773777052824e-05,1.573549909407244,0.0125970705265337,2.268068079871625e-06,2.154043233643121,415.7,2.11,18.8,57.9,0.0,2021,-1134.3,-1.79
2021-11-08,294.00392156862745,25869.301960784316,16089.19792729914,292.65888781742206,25389.05149469624,16088.491091486549,0.0472186868074488,5.063455172482668e-05,1.0555410544207464,0.010553142704141,2.714882034170057e-06,1.6360343786566236,411.6,1.98,19.2,62.5,0.0,2021,-1138.4,-1.92
2021-11-09,115.0392156862745,67345.09019607844,16089.19792729914,113.6941819350691,66864.83972999036,16088.491091486549,0.0477909027442787,5.9445120432809054e-05,0.6647978018331405,0.0111253586409709,1.1525450742152431e-05,1.2452911260690178,448.3,1.39,17.3,59.5,0.0,2021,-1101.7,-2.51
2021-11-10,61.0,4813.0,16089.19792729914,59.6549662487946,4332.749533911925,16088.491091486549,0.0507075814725973,6.295027883016097e-05,1.1387967159108785,0.0140420373692895,1.5030609139504354e-05,1.7192900401467557,488.0,1.08,22.5,53.9,0.0,2021,-1062.0,-2.82
2021-11-11,65.07450980392157,16310.901960784317,16089.19792729914,63.72947605271617,15830.65149469624,16088.491091486549,0.0570613829770844,5.944087468829626e-05,2.0939112204911763,0.0203958388737766,1.1521204997639635e-05,2.6744045447270537,564.9,3.03,18.0,53.7,0.0,2021,-985.1,-0.87
